Name,Type,Description
IsRegistrationCodeItem,Edm.Byte,Indicated if the item is used in voucher functionality
IsSalesItem,Edm.Boolean,Indicates if the item can be sold
IsSerialItem,Edm.Boolean,Indicates that serial numbers are used for this item
IsSerialNumberItem,Edm.Boolean,This property is obsolete. Use property 'IsSerialItem' instead.
IsStockItem,Edm.Boolean,"If you have the Trade or Manufacturing license and you check this property the item will be shown in the stock positions overview, stock counts and transaction lists. If you have the Invoice module and you check this property you will get a general journal entry based on the Stock and Costs G/L accounts of the item group. If you don’t want the general journal entry to be created you should change the Stock/Costs G/L account on the Item group page to the type Costs instead of Inventory. If you have the CRM Standalone license, the item will not be available."
IsSubcontractedItem,Edm.Boolean,Indicates if the item is provided by an outside supplier
IsTaxableItem,Edm.Byte,Indicates if tax needs to be calculated for this item
IsTime,Edm.Byte,Indicates if the item is a time unit item (for example a labor hour item)
IsWebshopItem,Edm.Byte,"Indicates if the item can be exported to a web shop. If you have the CRM Standalone license, the item will not be available."
ItemGroup,Edm.Guid,GUID of Item group of the item
ItemGroupCode,Edm.String,Code of ItemGroup
ItemGroupDescription,Edm.String,Description of ItemGroup
Modified,Edm.DateTime,Last modified date
Modifier,Edm.Guid,User ID of modifier
ModifierFullName,Edm.String,Name of modifier
NetWeight,Edm.Double,Net weight for international goods shipments
NetWeightUnit,Edm.String,"Net Weight unit for international goods shipment, only available in manufacturing packages"
Notes,Edm.String,Notes
Picture,Edm.Binary,This field is write-only. The picture can be downloaded through PictureUrl and PictureThumbnailUrl.
PictureName,Edm.String,File name of picture
PictureThumbnailUrl,Edm.String,Url where thumbnail picture can be retrieved
PictureUrl,Edm.String,Url where picture can be retrieved
SalesVatCode,Edm.String,Code of SalesVat
SalesVatCodeDescription,Edm.String,Description of SalesVatCode
SearchCode,Edm.String,Search code of the item
SecurityLevel,Edm.Int32,Security level (0 - 100)
StandardSalesPrice,Edm.Double,Standard sales price
StartDate,Edm.DateTime,Together with EndDate this determines if the item is active
StatisticalCode,Edm.String,Statistical code
StatisticalNetWeight,Edm.Double,Statistical net weight
StatisticalUnits,Edm.Double,Statistical units
StatisticalValue,Edm.Double,Statistical value
Stock,Edm.Double,Quantity that is in stock
Unit,Edm.String,The standard unit of this item
UnitDescription,Edm.String,Description of Unit
UnitType,Edm.String,"Type of unit: A=Area, L=Length, O=Other, T=Time, V=Volume, W=Weight"
UseExplosion,Edm.Byte,Assemble at delivery
