Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Notes
TitleDescription,Edm.String,Custom,x_aa_title_description,char,res.partner,Title description. Could map to res.partner.title.name if a clean mapping exists.
JobTitleDescription,Edm.String,Direct,function,char,res.partner,Job title → Odoo function. Direct match.
Gender,Edm.String,Custom,x_aa_gender,char,res.partner,Gender code.
BirthDate,Edm.DateTime,Custom,x_aa_birth_date,date,res.partner,Date of birth. Strip time.
BirthPlace,Edm.String,Custom,x_aa_birth_place,char,res.partner,Place of birth.
Nationality,Edm.String,Custom,x_aa_nationality,char,res.partner,Nationality code.
SocialSecurityNumber,Edm.String,Custom,x_aa_social_security_number,char,res.partner,SSN. Sensitive PII.
Person,Edm.Guid,Custom,x_aa_person_id,char,res.partner,Reference to Exact personal information entity. Store GUID.
IdentificationDate,Edm.DateTime,Custom,x_aa_identification_date,date,res.partner,Identity verification date. Strip time.
IdentificationDocument,Edm.Guid,Custom,x_aa_identification_document,char,res.partner,Identification document GUID.
IdentificationUser,Edm.Guid,Custom,x_aa_identification_user,char,res.partner,User who performed identification. Store GUID.
AddressStreet,Edm.String,Direct,street,char,res.partner,"Street name. Concatenate: ""{AddressStreet} {AddressStreetNumber}{AddressStreetNumberSuffix}"" → street. Only set if contact has own address; otherwise leave empty so Odoo inherits from parent_id."
AddressStreetNumber,Edm.String,Custom,x_aa_street_number,char,res.partner,Street number. Preserved for fidelity. Used in street concatenation.
AddressStreetNumberSuffix,Edm.String,Custom,x_aa_street_number_suffix,char,res.partner,Street number suffix. Used in street concatenation.
AddressLine2,Edm.String,Direct,street2,char,res.partner,Second address line. Only set if contact has own address.
City,Edm.String,Direct,city,char,res.partner,Only set if contact has own address.
Postcode,Edm.String,Direct,zip,char,res.partner,Only set if contact has own address.
Country,Edm.String,Relational,country_id,many2one → res.country,res.partner,Country code → res.country.code lookup. Only set if contact has own address.
State,Edm.String,Relational,state_id,many2one → res.country.state,res.partner,State/Province code. Only set if contact has own address.
BusinessEmail,Edm.String,Direct,email,char,res.partner,"Business email → Odoo email (primary). If empty, fall back to Email field."
Email,Edm.String,Custom,x_aa_personal_email,char,res.partner,Personal/secondary email. Used as fallback for Odoo email if BusinessEmail is empty.
BusinessPhone,Edm.String,Direct,phone,char,res.partner,Business phone → Odoo phone.
BusinessPhoneExtension,Edm.String,Custom,x_aa_phone_extension,char,res.partner,Phone extension. Shared field name with Accounts sheet.
BusinessFax,Edm.String,Custom,x_aa_fax,char,res.partner,Fax. Shared field name with Accounts sheet.
BusinessMobile,Edm.String,Direct,mobile,char,res.partner,"Business mobile → Odoo mobile. If empty, fall back to Mobile field."
Phone,Edm.String,Custom,x_aa_personal_phone,char,res.partner,Personal phone.
PhoneExtension,Edm.String,Custom,x_aa_personal_phone_extension,char,res.partner,Personal phone extension.
Mobile,Edm.String,Custom,x_aa_personal_mobile,char,res.partner,Personal mobile. Used as fallback for Odoo mobile if BusinessMobile is empty.
IsMainContact,Edm.Boolean,Custom,x_aa_is_main_contact,boolean,res.partner,Main contact flag. Cross-ref: parent account has x_aa_main_contact_id storing this contact's GUID.
LeadPurpose,Edm.Guid,Custom,x_aa_lead_purpose,char,res.partner,Lead purpose GUID. Shared field name with Accounts sheet.
LeadSource,Edm.Guid,Custom,x_aa_lead_source,char,res.partner,Lead source GUID. Shared field name with Accounts sheet.
MarketingNotes,Edm.String,Custom,x_aa_marketing_notes,text,res.partner,Free-text marketing notes.
IsMailingExcluded,Edm.Boolean,Custom,x_aa_is_mailing_excluded,boolean,res.partner,Excluded from mailings. Consider also setting is_blacklisted=True.
Notes,Edm.String,Direct,comment,html,res.partner,Remarks/notes. Wrap in <p> tags. Same target field as Accounts (Remarks → comment).
StartDate,Edm.DateTime,Custom,x_aa_start_date,date,res.partner,Contact start date. Shared field name with Accounts sheet. Strip time.
EndDate,Edm.DateTime,Custom,x_aa_end_date,date,res.partner,Contact end date. Used in Derived: active. Shared field name with Accounts sheet.
Picture,Edm.Binary,Direct,image_1920,binary,res.partner,Contact photo. Write-only in Exact; fetch via PictureUrl during extraction.
PictureName,Edm.String,Custom,x_aa_picture_name,char,res.partner,Original filename.
PictureThumbnailUrl,Edm.String,Skip,—,—,—,Exact-hosted URL. Not meaningful post-migration.
PictureUrl,Edm.String,Skip,—,—,—,Exact-hosted URL. Used during extraction only.
Language,Edm.String,Relational,lang,selection,res.partner,Language code. Same ISO → locale logic as Accounts sheet.
IsAnonymised,Edm.Byte,Custom,x_aa_is_anonymised,boolean,res.partner,Anonymisation flag. Shared field name with Accounts sheet.
Created,Edm.DateTime,Direct,create_date,datetime,res.partner,Creation timestamp.
Creator,Edm.Guid,Relational,create_uid,many2one → res.users,res.partner,Creator. Default to admin if not mapped.
CreatorFullName,Edm.String,Skip,—,—,—,Denormalized display field.
Modified,Edm.DateTime,Direct,write_date,datetime,res.partner,Last modification timestamp.
Modifier,Edm.Guid,Relational,write_uid,many2one → res.users,res.partner,Modifier. Default to admin.
ModifierFullName,Edm.String,Skip,—,—,—,Denormalized display field.
Division,Edm.Int32,Relational,company_id,many2one → res.company,res.partner,Exact division → res.company.
AllowMailing,Edm.Int32,Skip,—,—,—,Obsolete.
BirthName,Edm.String,Skip,—,—,—,Obsolete. May overwrite LastName.
BirthNamePrefix,Edm.String,Skip,—,—,—,Obsolete. May overwrite MiddleName.
CustomField,Edm.String,Skip,—,—,—,Premium endpoint reference. Always skip.
—,—,Derived,is_company,boolean,res.partner,Always False for Contacts. (Accounts sheet sets True.)
—,—,Derived,company_type,selection,res.partner,"Always ""person"". (Accounts sheet sets ""company"".)"
—,—,Derived,name,char,res.partner,"Concatenated: ""{FirstName} {MiddleName} {LastName}"".strip(), skipping empty parts. Fall back to FullName if both FirstName and LastName are empty."
—,—,Derived,active,boolean,res.partner,"False if EndDate < migration date, else True. Same logic as Accounts sheet."
—,—,Derived,type,selection,res.partner,"Set to ""contact"" (default address type for person contacts)."
